[START] Reading GenBank input...
[START] Loaded 1 record(s).
[RECORD] Processing record 1/1: 1
[CHANGED] standard_name=dnaA CDS | location=635-2054(+) | final_gene=dnaA | final_product=chromosomal replication initiator protein DnaA | resolution=no_change
[CHANGED] standard_name=heme oxygenase (biliverdin-producing) CDS | location=3220191-3220911(+) | final_gene=pbsA | final_product=heme oxygenase (biliverdin-producing) | resolution=uniprot_product_to_gene:pbsA:35,pbsA1:25,hmuO:5,hox1:5
[UNRESOLVED] standard_name=glycosyltransferase family 4 protein CDS | location=3221451-3222537(-) | final_gene=unknown_gene | final_product=glycosyltransferase family 4 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=acyl-CoA dehydrogenase family protein CDS | location=3223517-3224792(+) | final_gene=unknown_gene | final_product=acyl-CoA dehydrogenase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF6464 family protein CDS | location=3224850-3225159(-) | final_gene=unknown_gene | final_product=DUF6464 family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=SAM-dependent methyltransferase CDS | location=3225320-3226013(-) | final_gene=mysB | final_product=SAM-dependent methyltransferase | resolution=uniprot_product_to_gene:mysB:5
[UNCHANGED] standard_name=thrC CDS | location=3226181-3227321(+) | final_gene=thrC | final_product=Threonine synthase | resolution=no_change
[CHANGED] standard_name=thrC gene | location=3226217-3227321(+) | final_gene=thrC | final_product=thrC gene | resolution=no_change
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=3227437-3228913(-) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[UNRESOLVED] standard_name=sugar phosphate nucleotidyltransferase CDS | location=3229968-3231129(-) | final_gene=unknown_gene | final_product=sugar phosphate nucleotidyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=AEC family transporter CDS | location=3231518-3232439(+) | final_gene=unknown_gene | final_product=AEC family transporter | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=phoU CDS | location=3232538-3233234(-) | final_gene=phoU | final_product=Phosphate-specific transport system accessory protein PhoU | resolution=no_change
[CHANGED] standard_name=phoU gene | location=3232538-3233219(-) | final_gene=phoU | final_product=phoU gene | resolution=no_change
[CHANGED] standard_name=sensor histidine kinase CDS | location=3234411-3235971(-) | final_gene=sasA | final_product=sensor histidine kinase | resolution=uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
[CHANGED] standard_name=response regulator CDS | location=3235951-3236701(-) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[UNRESOLVED] standard_name=DUF305 domain-containing protein CDS | location=3237412-3238168(-) | final_gene=unknown_gene | final_product=DUF305 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ycf3 13 CDS | location=3239620-3241018(-) | final_gene=ycf3 | final_product=Photosystem I assembly protein Ycf3 | resolution=uniprot_product_to_gene:ycf3:895,ycf:55
[UNRESOLVED] standard_name=cyanoexosortase B system-associated protein CDS | location=3247435-3248230(+) | final_gene=unknown_gene | final_product=cyanoexosortase B system-associated protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=polysaccharide biosynthesis/export family protein CDS | location=3248695-3249793(+) | final_gene=gumB | final_product=polysaccharide biosynthesis/export family protein | resolution=uniprot_product_to_gene:gumB:5
[UNCHANGED] standard_name=tpiA CDS | location=3253518-3254211(-) | final_gene=tpiA | final_product=Triosephosphate isomerase | resolution=no_change
[CHANGED] standard_name=tpiA gene | location=3253518-3254211(-) | final_gene=tpiA | final_product=tpiA gene | resolution=no_change
[UNRESOLVED] standard_name=peptidoglycan DD-metalloendopeptidase family protein CDS | location=3254334-3255441(-) | final_gene=unknown_gene | final_product=peptidoglycan DD-metalloendopeptidase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=alpha/beta hydrolase CDS | location=3256343-3257006(+) | final_gene=unknown_gene | final_product=alpha/beta hydrolase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=(2Fe-2S) ferredoxin domain-containing protein CDS | location=3258015-3258852(-) | final_gene=unknown_gene | final_product=(2Fe-2S) ferredoxin domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=dipeptide epimerase CDS | location=3259132-3260194(+) | final_gene=unknown_gene | final_product=dipeptide epimerase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2854 domain-containing protein CDS | location=3260230-3260785(-) | final_gene=unknown_gene | final_product=DUF2854 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=NAD(P)/FAD-dependent oxidoreductase CDS | location=3261223-3262312(-) | final_gene=unknown_gene | final_product=NAD(P)/FAD-dependent oxidoreductase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=YaaW family protein CDS | location=3262726-3263575(+) | final_gene=unknown_gene | final_product=YaaW family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=O-antigen ligase family protein CDS | location=3263591-3264914(+) | final_gene=unknown_gene | final_product=O-antigen ligase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF3153 domain-containing protein CDS | location=3267369-3268329(-) | final_gene=unknown_gene | final_product=DUF3153 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=carbohydrate kinase CDS | location=3268874-3269879(+) | final_gene=xylB | final_product=carbohydrate kinase | resolution=uniprot_product_to_gene:xylB:3
[CHANGED] standard_name=chlorophyll a/b-binding protein CDS | location=3270100-3270253(+) | final_gene=pcbC | final_product=chlorophyll a/b-binding protein | resolution=uniprot_product_to_gene:pcbC:5
[UNRESOLVED] standard_name=glycosyltransferase 61 family protein CDS | location=3270872-3272414(-) | final_gene=unknown_gene | final_product=glycosyltransferase 61 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=CsgG/HfaB family protein CDS | location=3272916-3273597(-) | final_gene=unknown_gene | final_product=CsgG/HfaB family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=diguanylate cyclase CDS | location=3274034-3276020(+) | final_gene=dosC | final_product=diguanylate cyclase | resolution=uniprot_product_to_gene:dosC:3
[UNRESOLVED] standard_name=UvrD-helicase domain-containing protein CDS | location=3276024-3279555(-) | final_gene=unknown_gene | final_product=UvrD-helicase domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF561 domain-containing protein CDS | location=3279783-3280545(-) | final_gene=unknown_gene | final_product=DUF561 domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=leuC CDS | location=3280665-3282075(-) | final_gene=leuC | final_product=3-isopropylmalate dehydratase large subunit | resolution=no_change
[CHANGED] standard_name=leuC gene | location=3280665-3282075(-) | final_gene=leuC | final_product=leuC gene | resolution=no_change
[UNRESOLVED] standard_name=DNA adenine methylase CDS | location=3282540-3283404(+) | final_gene=unknown_gene | final_product=DNA adenine methylase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GTP-binding protein CDS | location=3283892-3285440(+) | final_gene=unknown_gene | final_product=GTP-binding protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=2Fe-2S iron-sulfur cluster-binding protein CDS | location=3285498-3286644(-) | final_gene=unknown_gene | final_product=2Fe-2S iron-sulfur cluster-binding protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=AbrB family transcriptional regulator CDS | location=3287618-3288011(+) | final_gene=unknown_gene | final_product=AbrB family transcriptional regulator | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=M48 family metallopeptidase CDS | location=3288230-3289220(-) | final_gene=unknown_gene | final_product=M48 family metallopeptidase | resolution=fallback_unknown_gene
[CHANGED] standard_name=ABC transporter permease CDS | location=3289297-3290065(-) | final_gene=modB | final_product=ABC transporter permease | resolution=uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
[CHANGED] standard_name=ATP-binding protein CDS | location=3290411-3290993(+) | final_gene=chlL | final_product=ATP-binding protein | resolution=uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
[UNRESOLVED] standard_name=STAS domain-containing protein CDS | location=3291412-3291754(+) | final_gene=unknown_gene | final_product=STAS domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=diguanylate cyclase CDS | location=3292003-3293179(+) | final_gene=dosC | final_product=diguanylate cyclase | resolution=uniprot_product_to_gene:dosC:3
[UNRESOLVED] standard_name=PP2C family protein-serine/threonine phosphatase CDS | location=3293348-3295400(+) | final_gene=unknown_gene | final_product=PP2C family protein-serine/threonine phosphatase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=NAD(P)/FAD-dependent oxidoreductase CDS | location=3295437-3296736(-) | final_gene=unknown_gene | final_product=NAD(P)/FAD-dependent oxidoreductase | resolution=fallback_unknown_gene
[CHANGED] standard_name=pyk 2 CDS | location=3297527-3298955(+) | final_gene=pyk | final_product=Pyruvate kinase | resolution=uniprot_product_to_gene:pyk:465,pykF:20,pyk1:8,pykF2:5,pykF4:5
[CHANGED] standard_name=pyk gene | location=3297527-3298955(+) | final_gene=pyk | final_product=pyk gene | resolution=no_change
[CHANGED] standard_name=CTP synthase CDS | location=3299235-3300972(+) | final_gene=pyrG | final_product=CTP synthase | resolution=uniprot_product_to_gene:pyrG:990
[UNRESOLVED] standard_name=CHAT domain-containing protein CDS | location=3301613-3302963(-) | final_gene=unknown_gene | final_product=CHAT domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ABC transporter permease CDS | location=3303022-3303910(-) | final_gene=modB | final_product=ABC transporter permease | resolution=uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
[CHANGED] standard_name=shikimate kinase CDS | location=3304022-3304628(+) | final_gene=aroK | final_product=shikimate kinase | resolution=uniprot_product_to_gene:aroK:985,aroL:5
[UNRESOLVED] standard_name=metallophosphoesterase CDS | location=3304716-3305808(+) | final_gene=unknown_gene | final_product=metallophosphoesterase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=EAL domain-containing protein CDS | location=3306016-3308905(+) | final_gene=unknown_gene | final_product=EAL domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=sensor histidine kinase CDS | location=3309705-3311142(+) | final_gene=sasA | final_product=sensor histidine kinase | resolution=uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
[UNRESOLVED] standard_name=glycoside hydrolase family 57 protein CDS | location=3312094-3313684(+) | final_gene=unknown_gene | final_product=glycoside hydrolase family 57 protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=XisI protein CDS | location=3313860-3314184(-) | final_gene=unknown_gene | final_product=XisI protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ycf3 14 CDS | location=3314677-3317410(-) | final_gene=ycf3 | final_product=Photosystem I assembly protein Ycf3 | resolution=uniprot_product_to_gene:ycf3:895,ycf:55
[CHANGED] standard_name=glmM CDS | location=3318388-3319885(+) | final_gene=glmM | final_product=phosphoglucosamine mutase | resolution=no_change
[UNRESOLVED] standard_name=DUF29 domain-containing protein CDS | location=3322631-3323066(-) | final_gene=unknown_gene | final_product=DUF29 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2442 domain-containing protein CDS | location=3323062-3323326(-) | final_gene=unknown_gene | final_product=DUF2442 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=type II toxin-antitoxin system VapC family toxin CDS | location=3326499-3326907(-) | final_gene=unknown_gene | final_product=type II toxin-antitoxin system VapC family toxin | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=3327698-3328265(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=nucleotidyltransferase family protein CDS | location=3328266-3328584(+) | final_gene=unknown_gene | final_product=nucleotidyltransferase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=LL-diaminopimelate aminotransferase CDS | location=3332445-3333663(-) | final_gene=dapL | final_product=LL-diaminopimelate aminotransferase | resolution=uniprot_product_to_gene:dapL:915,dapL1:16,dapL2:6
[CHANGED] standard_name=thioredoxin family protein CDS | location=3333697-3334048(-) | final_gene=trxA | final_product=thioredoxin family protein | resolution=uniprot_product_to_gene:trxA:5,txlA:5
[UNRESOLVED] standard_name=PspA/IM30 family protein CDS | location=3334260-3335040(-) | final_gene=unknown_gene | final_product=PspA/IM30 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=PspA/IM30 family protein CDS | location=3335379-3336042(-) | final_gene=unknown_gene | final_product=PspA/IM30 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=SPOR domain-containing protein CDS | location=3336235-3337543(-) | final_gene=unknown_gene | final_product=SPOR domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF721 domain-containing protein CDS | location=3338127-3338718(+) | final_gene=unknown_gene | final_product=DUF721 domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=menB CDS | location=3340405-3341239(-) | final_gene=menB | final_product=1,4-dihydroxy-2-naphthoyl-CoA synthase | resolution=no_change
[CHANGED] standard_name=menB gene | location=3340405-3341239(-) | final_gene=menB | final_product=menB gene | resolution=no_change
[CHANGED] standard_name=ald CDS | location=3341544-3342627(+) | final_gene=ald | final_product=alanine dehydrogenase | resolution=no_change
[CHANGED] standard_name=cysK CDS | location=3342824-3343784(-) | final_gene=cysK | final_product=cysteine synthase A | resolution=no_change
[UNRESOLVED] standard_name=Rrf2 family transcriptional regulator CDS | location=3344000-3344438(-) | final_gene=unknown_gene | final_product=Rrf2 family transcriptional regulator | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF2288 domain-containing protein CDS | location=3344708-3345050(-) | final_gene=unknown_gene | final_product=DUF2288 domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=accB CDS | location=3345072-3345570(-) | final_gene=accB | final_product=Biotin carboxyl carrier protein of acetyl-CoA carboxylase | resolution=no_change
[CHANGED] standard_name=accB gene | location=3345072-3345570(-) | final_gene=accB | final_product=accB gene | resolution=no_change
[CHANGED] standard_name=efp 1 CDS | location=3345895-3346456(-) | final_gene=efp | final_product=Elongation factor P | resolution=uniprot_product_to_gene:efp:995
[CHANGED] standard_name=efp gene | location=3345895-3346456(-) | final_gene=efp | final_product=efp gene | resolution=no_change
[CHANGED] standard_name=peptidylprolyl isomerase CDS | location=3346955-3347990(+) | final_gene=prsA | final_product=peptidylprolyl isomerase | resolution=uniprot_product_to_gene:prsA:10,surA:5,tig:5
[CHANGED] standard_name=thiL CDS | location=3348292-3349384(+) | final_gene=thiL | final_product=thiamine-phosphate kinase | resolution=no_change
[UNRESOLVED] standard_name=EamA family transporter CDS | location=3349566-3351408(+) | final_gene=unknown_gene | final_product=EamA family transporter | resolution=fallback_unknown_gene
[CHANGED] standard_name=ispE CDS | location=3351489-3352461(+) | final_gene=ispE | final_product=4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase | resolution=no_change
[CHANGED] standard_name=sensor histidine kinase CDS | location=3352501-3354055(-) | final_gene=sasA | final_product=sensor histidine kinase | resolution=uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
[UNRESOLVED] standard_name=DUF3155 domain-containing protein CDS | location=3354510-3354840(+) | final_gene=unknown_gene | final_product=DUF3155 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=adenylate/guanylate cyclase domain-containing protein CDS | location=3356069-3358583(-) | final_gene=unknown_gene | final_product=adenylate/guanylate cyclase domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=phospholipid carrier-dependent glycosyltransferase CDS | location=3358923-3360684(-) | final_gene=unknown_gene | final_product=phospholipid carrier-dependent glycosyltransferase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=LCP family protein CDS | location=3360748-3362176(-) | final_gene=unknown_gene | final_product=LCP family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF565 domain-containing protein CDS | location=3362909-3363260(+) | final_gene=unknown_gene | final_product=DUF565 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=phosphoribosyltransferase CDS | location=3364509-3365130(-) | final_gene=trpD | final_product=phosphoribosyltransferase | resolution=uniprot_product_to_gene:trpD:222,apt:105,hisG:96,hisZ:84,pyrE:33
[UNCHANGED] standard_name=ilvB1 CDS | location=3365668-3367525(-) | final_gene=ilvB1 | final_product=Acetolactate synthase large subunit IlvB1 | resolution=no_change
[CHANGED] standard_name=ilvB gene | location=3365668-3367525(-) | final_gene=ilvB | final_product=ilvB gene | resolution=no_change
[CHANGED] standard_name=Rieske 2Fe-2S domain-containing protein CDS | location=3367786-3368968(-) | final_gene=antA | final_product=Rieske 2Fe-2S domain-containing protein | resolution=uniprot_product_to_gene:antA:5
[UNRESOLVED] standard_name=tRNA-Ser gene | location=3369198-3369285(-) | final_gene=unknown_gene | final_product=tRNA-Ser gene | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=2Fe-2S iron-sulfur cluster-binding protein CDS | location=3369419-3369818(+) | final_gene=unknown_gene | final_product=2Fe-2S iron-sulfur cluster-binding protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=thermonuclease family protein CDS | location=3369807-3370512(+) | final_gene=unknown_gene | final_product=thermonuclease family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=inositol monophosphatase family protein CDS | location=3370600-3371461(+) | final_gene=unknown_gene | final_product=inositol monophosphatase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DnaJ domain-containing protein CDS | location=3371724-3372711(+) | final_gene=unknown_gene | final_product=DnaJ domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ATP phosphoribosyltransferase regulatory subunit CDS | location=3372758-3374018(+) | final_gene=hisZ | final_product=ATP phosphoribosyltransferase regulatory subunit | resolution=uniprot_product_to_gene:hisZ:960,hisS:10
[CHANGED] standard_name=NAD(P)H-quinone oxidoreductase subunit 5 CDS | location=3376330-3378388(-) | final_gene=ndhF | final_product=NAD(P)H-quinone oxidoreductase subunit 5 | resolution=uniprot_product_to_gene:ndhF:83,ndhF2:6
[CHANGED] standard_name=chlorophyll a/b-binding protein CDS | location=3378700-3378913(+) | final_gene=pcbC | final_product=chlorophyll a/b-binding protein | resolution=uniprot_product_to_gene:pcbC:5
[CHANGED] standard_name=folE 1 CDS | location=3379473-3380109(-) | final_gene=folE | final_product=GTP cyclohydrolase 1 | resolution=uniprot_product_to_gene:folE:915,folE2:13,folE1:3
[CHANGED] standard_name=folE gene | location=3379473-3380109(-) | final_gene=folE | final_product=folE gene | resolution=no_change
[CHANGED] standard_name=hemB 1 CDS | location=3380519-3381677(+) | final_gene=hemB | final_product=Delta-aminolevulinic acid dehydratase | resolution=uniprot_product_to_gene:hemB:830,hemB1:5,hemB2:5,hemB3:5
[CHANGED] standard_name=hemB gene | location=3380519-3381677(+) | final_gene=hemB | final_product=hemB gene | resolution=no_change
[UNRESOLVED] standard_name=DegT/DnrJ/EryC1/StrS family aminotransferase CDS | location=3381673-3382804(-) | final_gene=unknown_gene | final_product=DegT/DnrJ/EryC1/StrS family aminotransferase | resolution=fallback_unknown_gene
[CHANGED] standard_name=lepB CDS | location=3383202-3383799(+) | final_gene=lepB | final_product=signal peptidase I | resolution=no_change
[UNRESOLVED] standard_name=phosphopantothenoylcysteine decarboxylase CDS | location=3384151-3385396(+) | final_gene=unknown_gene | final_product=phosphopantothenoylcysteine decarboxylase | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=CapA family protein CDS | location=3386049-3388920(+) | final_gene=unknown_gene | final_product=CapA family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=DNA-formamidopyrimidine glycosylase CDS | location=3388948-3389815(-) | final_gene=mutM | final_product=DNA-formamidopyrimidine glycosylase | resolution=uniprot_product_to_gene:mutM:3
[CHANGED] standard_name=photosystem I reaction center subunit IV CDS | location=3389926-3390142(-) | final_gene=psaE | final_product=photosystem I reaction center subunit IV | resolution=uniprot_product_to_gene:psaE:990
[CHANGED] standard_name=RNA polymerase sigma factor SigF CDS | location=3392614-3393403(-) | final_gene=sigF | final_product=RNA polymerase sigma factor SigF | resolution=uniprot_product_to_gene:sigF:40
[CHANGED] standard_name=response regulator CDS | location=3393572-3398114(-) | final_gene=cheB | final_product=response regulator | resolution=uniprot_product_to_gene:cheB:18,nblR:6,ompR:6,phoB:6,mprA:3
[UNRESOLVED] standard_name=glycoside hydrolase family 15 protein CDS | location=3399327-3402642(+) | final_gene=unknown_gene | final_product=glycoside hydrolase family 15 protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ABC transporter permease CDS | location=3402742-3403525(+) | final_gene=modB | final_product=ABC transporter permease | resolution=uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
[CHANGED] standard_name=pgeF CDS | location=3404267-3405056(+) | final_gene=pgeF | final_product=peptidoglycan editing factor PgeF | resolution=no_change
[UNRESOLVED] standard_name=glycosyltransferase 61 family protein CDS | location=3405105-3407757(-) | final_gene=unknown_gene | final_product=glycosyltransferase 61 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DMT family transporter CDS | location=3407924-3408863(-) | final_gene=unknown_gene | final_product=DMT family transporter | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=cupin domain-containing protein CDS | location=3409002-3409287(+) | final_gene=unknown_gene | final_product=cupin domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF4114 domain-containing protein CDS | location=3409514-3410384(-) | final_gene=unknown_gene | final_product=DUF4114 domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=YlqD family protein CDS | location=3410756-3411206(+) | final_gene=unknown_gene | final_product=YlqD family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=sensor histidine kinase CDS | location=3411502-3412918(+) | final_gene=sasA | final_product=sensor histidine kinase | resolution=uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
[CHANGED] standard_name=ATP-binding protein CDS | location=3413512-3416437(+) | final_gene=chlL | final_product=ATP-binding protein | resolution=uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
[UNRESOLVED] standard_name=DUF3177 family protein CDS | location=3416668-3417268(-) | final_gene=unknown_gene | final_product=DUF3177 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=cytochrome b CDS | location=3417505-3418108(+) | final_gene=unknown_gene | final_product=cytochrome b | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=GNAT family N-acetyltransferase CDS | location=3418351-3419554(+) | final_gene=unknown_gene | final_product=GNAT family N-acetyltransferase | resolution=fallback_unknown_gene
[CHANGED] standard_name=prmA CDS | location=3420269-3421163(-) | final_gene=prmA | final_product=50S ribosomal protein L11 methyltransferase | resolution=no_change
[CHANGED] standard_name=NAD(P)H-quinone oxidoreductase subunit H CDS | location=3421631-3422816(+) | final_gene=ndhH | final_product=NAD(P)H-quinone oxidoreductase subunit H | resolution=uniprot_product_to_gene:ndhH:980,ndhH1:3,ndhH2:3
[UNRESOLVED] standard_name=long-chain-fatty-acid--CoA ligase FadD15 CDS | location=3423865-3425854(-) | final_gene=unknown_gene | final_product=Long-chain-fatty-acid--CoA ligase FadD15 | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=long-chain fatty acid--CoA ligase gene | location=3423865-3425854(-) | final_gene=unknown_gene | final_product=long-chain fatty acid--CoA ligase gene | resolution=fallback_unknown_gene
[CHANGED] standard_name=hpsE CDS | location=3428308-3430291(+) | final_gene=hpsE | final_product=hormogonium polysaccharide biosynthesis glycosyltransferase HpsE | resolution=no_change
[UNRESOLVED] standard_name=D-alanyl-D-alanine carboxypeptidase family protein CDS | location=3430299-3431424(-) | final_gene=unknown_gene | final_product=D-alanyl-D-alanine carboxypeptidase family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=ribonuclease D CDS | location=3432122-3432749(+) | final_gene=rnd | final_product=ribonuclease D | resolution=uniprot_product_to_gene:rnd:50
[CHANGED] standard_name=lpxB CDS | location=3432791-3433970(-) | final_gene=lpxB | final_product=lipid-A-disaccharide synthase | resolution=no_change
[UNCHANGED] standard_name=lpxA CDS | location=3433962-3434787(-) | final_gene=lpxA | final_product=Acyl-[acyl-carrier-protein]--UDP-N- acetylglucosamine O-acyltransferase | resolution=no_change
[CHANGED] standard_name=lpxA gene | location=3433962-3434787(-) | final_gene=lpxA | final_product=lpxA gene | resolution=no_change
[CHANGED] standard_name=fabZ CDS | location=3434866-3435391(-) | final_gene=fabZ | final_product=3-hydroxyacyl-ACP dehydratase FabZ | resolution=no_change
[CHANGED] standard_name=lpxC CDS | location=3435626-3436574(-) | final_gene=lpxC | final_product=UDP-3-O-acyl-N-acetylglucosamine deacetylase | resolution=no_change
[UNRESOLVED] standard_name=BamA/TamA family outer membrane protein CDS | location=3436669-3438886(-) | final_gene=unknown_gene | final_product=BamA/TamA family outer membrane protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=purC CDS | location=3439163-3439886(-) | final_gene=purC | final_product=Phosphoribosylaminoimidazole-succinocarboxamide synthase | resolution=no_change
[CHANGED] standard_name=purC gene | location=3439163-3439886(-) | final_gene=purC | final_product=purC gene | resolution=no_change
[UNRESOLVED] standard_name=DUF4870 domain-containing protein CDS | location=3440031-3440484(-) | final_gene=unknown_gene | final_product=DUF4870 domain-containing protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=hemB 2 CDS | location=3441082-3442066(+) | final_gene=hemB | final_product=Delta-aminolevulinic acid dehydratase | resolution=uniprot_product_to_gene:hemB:830,hemB1:5,hemB2:5,hemB3:5
[CHANGED] standard_name=hemB gene | location=3441082-3442066(+) | final_gene=hemB | final_product=hemB gene | resolution=no_change
[UNRESOLVED] standard_name=choice-of-anchor Q domain-containing protein CDS | location=3442580-3444824(+) | final_gene=unknown_gene | final_product=choice-of-anchor Q domain-containing protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=Uma2 family endonuclease CDS | location=3444913-3445651(+) | final_gene=unknown_gene | final_product=Uma2 family endonuclease | resolution=fallback_unknown_gene
[CHANGED] standard_name=tetratricopeptide repeat protein CDS | location=3445676-3446897(+) | final_gene=fxsT | final_product=tetratricopeptide repeat protein | resolution=uniprot_product_to_gene:fxsT:3
[UNRESOLVED] standard_name=RidA family protein CDS | location=3446950-3447334(+) | final_gene=unknown_gene | final_product=RidA family protein | resolution=fallback_unknown_gene
[CHANGED] standard_name=2-hydroxyacid dehydrogenase CDS | location=3447484-3448492(+) | final_gene=ddh | final_product=2-hydroxyacid dehydrogenase | resolution=uniprot_product_to_gene:ddh:13
[CHANGED] standard_name=crtR CDS | location=3448809-3449712(+) | final_gene=crtR | final_product=beta-carotene hydroxylase | resolution=no_change
[UNRESOLVED] standard_name=NblA/ycf18 family protein CDS | location=3450558-3450756(+) | final_gene=unknown_gene | final_product=NblA/ycf18 family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=lecithin retinol acyltransferase family protein CDS | location=3451416-3452103(+) | final_gene=unknown_gene | final_product=lecithin retinol acyltransferase family protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=ComEC/Rec2 family competence protein CDS | location=3452157-3454515(-) | final_gene=unknown_gene | final_product=ComEC/Rec2 family competence protein | resolution=fallback_unknown_gene
[UNRESOLVED] standard_name=DUF4079 domain-containing protein CDS | location=3454705-3455206(-) | final_gene=unknown_gene | final_product=DUF4079 domain-containing protein | resolution=fallback_unknown_gene
[UNCHANGED] standard_name=glyQ CDS | location=3455316-3456210(-) | final_gene=glyQ | final_product=Glycine--tRNA ligase alpha subunit | resolution=no_change
