standard_name	issue	gene_feature_gene	gene_feature_product	cds_feature_gene	cds_feature_product	final_gene	final_product	resolution
thioredoxin family protein CDS	resolution				thioredoxin family protein	trxA	thioredoxin family protein	uniprot_product_to_gene:trxA:5,txlA:5
SRPBCC family protein CDS	resolution				SRPBCC family protein	unknown_gene	SRPBCC family protein	fallback_unknown_gene
universal stress protein CDS	resolution				universal stress protein	UspA	universal stress protein	uniprot_product_to_gene:UspA:5,uspA:5
PAS domain-containing protein CDS	resolution				PAS domain-containing protein	unknown_gene	PAS domain-containing protein	fallback_unknown_gene
tetratricopeptide repeat protein CDS	resolution				tetratricopeptide repeat protein	fxsT	tetratricopeptide repeat protein	uniprot_product_to_gene:fxsT:3
glycosyltransferase family 4 protein CDS	resolution				glycosyltransferase family 4 protein	unknown_gene	glycosyltransferase family 4 protein	fallback_unknown_gene
Gfo/Idh/MocA family protein CDS	resolution				Gfo/Idh/MocA family protein	unknown_gene	Gfo/Idh/MocA family protein	fallback_unknown_gene
adenylate/guanylate cyclase domain-containing protein CDS	resolution				adenylate/guanylate cyclase domain-containing protein	unknown_gene	adenylate/guanylate cyclase domain-containing protein	fallback_unknown_gene
YifB family Mg chelatase-like AAA ATPase CDS	resolution				YifB family Mg chelatase-like AAA ATPase	unknown_gene	YifB family Mg chelatase-like AAA ATPase	fallback_unknown_gene
glycosyltransferase family 4 protein CDS	resolution				glycosyltransferase family 4 protein	unknown_gene	glycosyltransferase family 4 protein	fallback_unknown_gene
Bacteriohemerythrin CDS	resolution				Bacteriohemerythrin	unknown_gene	Bacteriohemerythrin	fallback_unknown_gene
Bacteriohemerythrin gene	resolution					unknown_gene	Bacteriohemerythrin gene	fallback_unknown_gene
DNA alkylation repair protein CDS	resolution				DNA alkylation repair protein	unknown_gene	DNA alkylation repair protein	fallback_unknown_gene
MBL fold metallo-hydrolase CDS	resolution				MBL fold metallo-hydrolase	unknown_gene	MBL fold metallo-hydrolase	fallback_unknown_gene
CHASE2 domain-containing protein CDS	resolution				CHASE2 domain-containing protein	unknown_gene	CHASE2 domain-containing protein	fallback_unknown_gene
TMEM165/GDT1 family protein CDS	resolution				TMEM165/GDT1 family protein	unknown_gene	TMEM165/GDT1 family protein	fallback_unknown_gene
TMEM165/GDT1 family protein CDS	resolution				TMEM165/GDT1 family protein	unknown_gene	TMEM165/GDT1 family protein	fallback_unknown_gene
MlaD family protein CDS	resolution				MlaD family protein	unknown_gene	MlaD family protein	fallback_unknown_gene
MBL fold metallo-hydrolase CDS	resolution				MBL fold metallo-hydrolase	unknown_gene	MBL fold metallo-hydrolase	fallback_unknown_gene
bifunctional riboflavin kinase/FAD synthetase CDS	resolution				bifunctional riboflavin kinase/FAD synthetase	unknown_gene	bifunctional riboflavin kinase/FAD synthetase	fallback_unknown_gene
AAA family ATPase CDS	resolution				AAA family ATPase	unknown_gene	AAA family ATPase	fallback_unknown_gene
sterol desaturase family protein CDS	resolution				sterol desaturase family protein	unknown_gene	sterol desaturase family protein	fallback_unknown_gene
class I SAM-dependent methyltransferase CDS	resolution				class I SAM-dependent methyltransferase	unknown_gene	class I SAM-dependent methyltransferase	fallback_unknown_gene
alpha-amylase CDS	resolution			amyS_1	Alpha-amylase	amyS	Alpha-amylase	uniprot_product_to_gene:amyS:45,amy:20,amyA:15,amyM:10,amy1:5
alpha-amylase gene	resolution					unknown_gene	alpha-amylase gene	fallback_unknown_gene
glutathione S-transferase family protein CDS	resolution				glutathione S-transferase family protein	unknown_gene	glutathione S-transferase family protein	fallback_unknown_gene
nucleotidyltransferase family protein CDS	resolution				nucleotidyltransferase family protein	unknown_gene	nucleotidyltransferase family protein	fallback_unknown_gene
N-6 DNA methylase CDS	resolution				N-6 DNA methylase	unknown_gene	N-6 DNA methylase	fallback_unknown_gene
gmk 1 CDS	resolution			gmk_1	Guanylate kinase	gmk	Guanylate kinase	uniprot_product_to_gene:gmk:1000
DUF86 domain-containing protein CDS	resolution				DUF86 domain-containing protein	unknown_gene	DUF86 domain-containing protein	fallback_unknown_gene
nucleotidyltransferase family protein CDS	resolution				nucleotidyltransferase family protein	unknown_gene	nucleotidyltransferase family protein	fallback_unknown_gene
IS5 family transposase ISMac15 CDS	resolution				IS5 family transposase ISMac15	unknown_gene	IS5 family transposase ISMac15	fallback_unknown_gene
acyl-CoA thioesterase CDS	resolution				acyl-CoA thioesterase	tesA	acyl-CoA thioesterase	uniprot_product_to_gene:tesA:5
ABC transporter ATP-binding protein CDS	resolution				ABC transporter ATP-binding protein	cbiO	ABC transporter ATP-binding protein	uniprot_product_to_gene:cbiO:20,yfmR:18,salX:12,hlyB:6,ecfA1:5
aminodeoxychorismate/anthranilate synthase component II CDS	resolution				aminodeoxychorismate/anthranilate synthase component II	trpG	aminodeoxychorismate/anthranilate synthase component II	uniprot_product_to_gene:trpG:25
MBL fold metallo-hydrolase CDS	resolution				MBL fold metallo-hydrolase	unknown_gene	MBL fold metallo-hydrolase	fallback_unknown_gene
adenylate/guanylate cyclase domain-containing protein CDS	resolution				adenylate/guanylate cyclase domain-containing protein	unknown_gene	adenylate/guanylate cyclase domain-containing protein	fallback_unknown_gene
ABC transporter substrate-binding protein CDS	resolution				ABC transporter substrate-binding protein	modA	ABC transporter substrate-binding protein	uniprot_product_to_gene:modA:126,proX:12,zam:6,urtA:5
SLC13 family permease CDS	resolution				SLC13 family permease	unknown_gene	SLC13 family permease	fallback_unknown_gene
nitrate reductase associated protein CDS	resolution				nitrate reductase associated protein	narM	nitrate reductase associated protein	uniprot_product_to_gene:narM:5
dienelactone hydrolase family protein CDS	resolution				dienelactone hydrolase family protein	unknown_gene	dienelactone hydrolase family protein	fallback_unknown_gene
glycosyl transferase CDS	resolution				glycosyl transferase	mraY	glycosyl transferase	uniprot_product_to_gene:mraY:3,pbpC:3,rfe:3,tagO:3
PAS domain S-box protein CDS	resolution				PAS domain S-box protein	unknown_gene	PAS domain S-box protein	fallback_unknown_gene
ABC transporter permease CDS	resolution				ABC transporter permease	modB	ABC transporter permease	uniprot_product_to_gene:modB:45,cysW:33,ntrB:9
HU family DNA-binding protein CDS	resolution				HU family DNA-binding protein	unknown_gene	HU family DNA-binding protein	fallback_unknown_gene
glutamate-5-semialdehyde dehydrogenase CDS	resolution				glutamate-5-semialdehyde dehydrogenase	proA	glutamate-5-semialdehyde dehydrogenase	uniprot_product_to_gene:proA:5
SH3 domain-containing protein CDS	resolution				SH3 domain-containing protein	unknown_gene	SH3 domain-containing protein	fallback_unknown_gene
lipid-A-disaccharide synthase CDS	resolution				lipid-A-disaccharide synthase	lpxB	lipid-A-disaccharide synthase	uniprot_product_to_gene:lpxB:480,lpxB1:5
NAD(+) kinase CDS	resolution				NAD(+) kinase	ppnK	NAD(+) kinase	uniprot_product_to_gene:ppnK:10
NmrA family NAD(P)-binding protein CDS	resolution				NmrA family NAD(P)-binding protein	unknown_gene	NmrA family NAD(P)-binding protein	fallback_unknown_gene
ArsR/SmtB family transcription factor CDS	resolution				ArsR/SmtB family transcription factor	unknown_gene	ArsR/SmtB family transcription factor	fallback_unknown_gene
alpha/beta hydrolase CDS	resolution				alpha/beta hydrolase	unknown_gene	alpha/beta hydrolase	fallback_unknown_gene
alpha/beta hydrolase CDS	resolution				alpha/beta hydrolase	unknown_gene	alpha/beta hydrolase	fallback_unknown_gene
SDR family NAD(P)-dependent oxidoreductase CDS	resolution				SDR family NAD(P)-dependent oxidoreductase	unknown_gene	SDR family NAD(P)-dependent oxidoreductase	fallback_unknown_gene
glycosyltransferase family 2 protein CDS	resolution				glycosyltransferase family 2 protein	unknown_gene	glycosyltransferase family 2 protein	fallback_unknown_gene
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
sugar transferase CDS	resolution				sugar transferase	unknown_gene	sugar transferase	fallback_unknown_gene
calcium-binding protein CDS	resolution				calcium-binding protein	unknown_gene	calcium-binding protein	fallback_unknown_gene
PstS family phosphate ABC transporter substrate-binding protein CDS	resolution				PstS family phosphate ABC transporter substrate-binding protein	unknown_gene	PstS family phosphate ABC transporter substrate-binding protein	fallback_unknown_gene
pstB CDS	resolution			pstB_1	Phosphate import ATP-binding protein PstB	pstB	Phosphate import ATP-binding protein PstB	uniprot_product_to_gene:pstB:133,pstB2:33,pstB1:24,pstB3:21,pstB4:3
ATP-binding protein CDS	resolution				ATP-binding protein	chlL	ATP-binding protein	uniprot_product_to_gene:chlL:348,pstB:39,bchL:36,pstB1:18,pstB2:18
sensor histidine kinase CDS	resolution				sensor histidine kinase	sasA	sensor histidine kinase	uniprot_product_to_gene:sasA:152,hik2:6,rppB:3
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
TIGR04282 family arsenosugar biosynthesis glycosyltransferase CDS	resolution				TIGR04282 family arsenosugar biosynthesis glycosyltransferase	unknown_gene	TIGR04282 family arsenosugar biosynthesis glycosyltransferase	fallback_unknown_gene
aspartate kinase CDS	resolution				aspartate kinase	lysC	aspartate kinase	uniprot_product_to_gene:lysC:60,ask:5
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
helix-turn-helix domain-containing protein CDS	resolution				helix-turn-helix domain-containing protein	unknown_gene	helix-turn-helix domain-containing protein	fallback_unknown_gene
hydantoinase B/oxoprolinase family protein CDS	resolution				hydantoinase B/oxoprolinase family protein	unknown_gene	hydantoinase B/oxoprolinase family protein	fallback_unknown_gene
nucleotidyltransferase family protein CDS	resolution				nucleotidyltransferase family protein	unknown_gene	nucleotidyltransferase family protein	fallback_unknown_gene
putative HTH-type transcriptional regulator CDS	resolution				putative HTH-type transcriptional regulator	lrrA	putative HTH-type transcriptional regulator	uniprot_product_to_gene:lrrA:15,yetL:15,ybaQ:3,ycgE:3,ydcH:3
cupin domain-containing protein CDS	resolution				cupin domain-containing protein	unknown_gene	cupin domain-containing protein	fallback_unknown_gene
bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase CDS	resolution				bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	gmhC	bifunctional heptose 7-phosphate kinase/heptose 1-phosphate adenyltransferase	uniprot_product_to_gene:gmhC:5
SDR family NAD(P)-dependent oxidoreductase CDS	resolution				SDR family NAD(P)-dependent oxidoreductase	unknown_gene	SDR family NAD(P)-dependent oxidoreductase	fallback_unknown_gene
VWA domain-containing protein CDS	resolution				VWA domain-containing protein	unknown_gene	VWA domain-containing protein	fallback_unknown_gene
proline--tRNA ligase CDS	resolution				proline--tRNA ligase	proS	proline--tRNA ligase	uniprot_product_to_gene:proS:970
ferritin-like domain-containing protein CDS	resolution				ferritin-like domain-containing protein	unknown_gene	ferritin-like domain-containing protein	fallback_unknown_gene
ribonucleotide reductase CDS	resolution				ribonucleotide reductase	nrdJ	ribonucleotide reductase	uniprot_product_to_gene:nrdJ:36,nrdA:4,nrd:3
2-methyl-6-phytyl-1,4-hydroquinone methyltransferase CDS	resolution				2-methyl-6-phytyl-1,4-hydroquinone methyltransferase	unknown_gene	2-methyl-6-phytyl-1,4-hydroquinone methyltransferase	fallback_unknown_gene
CHAT domain-containing protein CDS	resolution				CHAT domain-containing protein	unknown_gene	CHAT domain-containing protein	fallback_unknown_gene
pentapeptide repeat-containing protein CDS	resolution				pentapeptide repeat-containing protein	unk5	pentapeptide repeat-containing protein	uniprot_product_to_gene:unk5:15
alpha/beta fold hydrolase CDS	resolution				alpha/beta fold hydrolase	unknown_gene	alpha/beta fold hydrolase	fallback_unknown_gene
VOC family protein CDS	resolution				VOC family protein	unknown_gene	VOC family protein	fallback_unknown_gene
DUF3119 family protein CDS	resolution				DUF3119 family protein	unknown_gene	DUF3119 family protein	fallback_unknown_gene
DUF3086 domain-containing protein CDS	resolution				DUF3086 domain-containing protein	unknown_gene	DUF3086 domain-containing protein	fallback_unknown_gene
D-Ala-D-Ala carboxypeptidase family metallohydrolase CDS	resolution				D-Ala-D-Ala carboxypeptidase family metallohydrolase	unknown_gene	D-Ala-D-Ala carboxypeptidase family metallohydrolase	fallback_unknown_gene
histidinol-phosphate transaminase CDS	resolution				histidinol-phosphate transaminase	unknown_gene	histidinol-phosphate transaminase	fallback_unknown_gene
DNA cytosine methyltransferase CDS	resolution				DNA cytosine methyltransferase	unknown_gene	DNA cytosine methyltransferase	fallback_unknown_gene
Uma2 family endonuclease CDS	resolution				Uma2 family endonuclease	unknown_gene	Uma2 family endonuclease	fallback_unknown_gene
type I restriction endonuclease subunit R CDS	resolution				type I restriction endonuclease subunit R	hsdR2	type I restriction endonuclease subunit R	uniprot_product_to_gene:hsdR2:10,hsdR:5
response regulator CDS	gene_conflict	CheY		cheY	response regulator	cheY	response regulator	CDS_priority_for_gene
response regulator CDS	resolution	CheY		cheY	response regulator	cheY	response regulator	gene_conflict_CDS_priority
YciI family protein CDS	resolution				YciI family protein	unknown_gene	YciI family protein	fallback_unknown_gene
carotenoid oxygenase family protein CDS	gene_conflict	Apocarotenoid-15,15'-oxygenase gene		Apocarotenoid-15,15'-oxygenase	carotenoid oxygenase family protein	Apocarotenoid-15,15'-oxygenase	carotenoid oxygenase family protein	CDS_priority_for_gene
carotenoid oxygenase family protein CDS	resolution	Apocarotenoid-15,15'-oxygenase gene		Apocarotenoid-15,15'-oxygenase	carotenoid oxygenase family protein	Apocarotenoid-15,15'-oxygenase	carotenoid oxygenase family protein	gene_conflict_CDS_priority
